FSA_CODE,County,State,Crop Name,Type Name,Grazing Period Start Date,Grazing Period End Date
30067,Park,Montana,Barley,Spring Barley; Spring Barley,2022-05-14,2022-12-15
30067,Park,Montana,Grass,Crested Wheat; Garrison Creeping Fxtl; Native; Native; Orchard; Orchard; Sainfoin; Sainfoin,2022-05-14,2022-12-15
30067,Park,Montana,Millet,Common; Common,2022-05-14,2022-12-15
30067,Park,Montana,Mixed Forage,2 Or More Interseeded Grass Mix; 2 Or More Interseeded Grass Mix; 2 Or More Interseeded Small Grains; 2 Or More Interseeded Small Grains; Alfalfa Grass Mixture; Alfalfa Grass Mixture; Grass Mix-Below 25% Alfalfa; Grass Mix-Below 25% Alfalfa; Legume/Small Grain; Legume/Small Grain,2022-05-14,2022-12-15
30067,Park,Montana,Oats,Spring; Spring,2022-05-14,2022-12-15
30067,Park,Montana,"Sorghum, Forage",Sudex,2022-05-14,2022-12-15
30067,Park,Montana,Wheat,"Hard Amber Durum, Spring; Hard Red Spring; Hard Red Winter",2022-05-14,2022-12-15
