FSA_CODE,County,State,Crop Name,Type Name,Grazing Period Start Date,Grazing Period End Date
30031,Gallatin,Montana,Barley,Spring Barley; Spring Barley,2022-05-31,2022-12-15
30031,Gallatin,Montana,Grass,Blue Bunch Wheat; Bosioski Wild Rye; Crested Wheat; Idaho Fescue; Indian Ricegrass; Kentucky Bluegrass; Mountain Brome; Native; Native; Orchard; Orchard; Pubescent Wheat; Pubescent Wheat; Regar Brome; Regar Brome; Russian Wild Ryegrass; Russian Wild Ryegrass; Sainfoin; Sainfoin; Thick Spike Wheatgrass; Timothy; Timothy; Trailhead Basin Wild Rye; Western Wheatgrass,2022-05-31,2022-12-15
30031,Gallatin,Montana,Millet,Common; Common,2022-05-31,2022-12-15
30031,Gallatin,Montana,Mixed Forage,2 Or More Interseeded Grass Mix; 2 Or More Interseeded Grass Mix; 2 Or More Interseeded Small Grains; 2 Or More Interseeded Small Grains; Alfalfa Grass Mixture; Alfalfa Grass Mixture; Grass Mix-Below 25% Alfalfa; Grass Mix-Below 25% Alfalfa; Legume/Grass Mixture; Legume/Small Grain; Legume/Small Grain; Legume/Small Grain/Grass,2022-05-31,2022-12-15
30031,Gallatin,Montana,Oats,Spring; Spring,2022-05-31,2022-12-15
30031,Gallatin,Montana,"Sorghum, Forage",Sudex; Sudex,2022-05-31,2022-12-15
30031,Gallatin,Montana,Wheat,"Hard Amber Durum, Spring; Hard Amber Durum, Spring; Hard Red Spring; Hard Red Spring; Hard Red Winter; Hard Red Winter",2022-05-31,2022-12-15
