FSA_CODE,County,State,Crop Name,Type Name,Grazing Period Start Date,Grazing Period End Date
35031,McKinley,New Mexico,Oats,Winter,2021-10-31,2022-03-15
35031,McKinley,New Mexico,Grass,Native,2021-12-31,2022-12-31
35031,McKinley,New Mexico,Oats,Spring,2022-05-16,2022-08-15
